fname,fnum,cumulative_nv,cnv_change_6m,unit_nv,unit_nv_change,pnv_change_1m,npv_thisy,class,risk,founded_date,scale,management,manager,fee,mmin_amount,rank_1y
广发中证全指建筑材料指数A,004856,12.52%,21.21%,1.1252,-1.99%,6.45%,0.10%,股票指数,高风险,2017-08-02,0.31亿元（2019-12-31）,广发基金,罗国庆,0.10%,100元起购,338 | 1117
广发中证全指建筑材料指数C,004857,13.25%,21.17%,1.1325,-2.00%,6.44%,0.07%,股票指数,高风险,2017-08-02,0.77亿元（2019-12-31）,广发基金,罗国庆,0.00%,100元起购,333 | 1117
诺安全球黄金,320013,11.58%,4.88%,1.031,0.59%,6.84%,8.53%,QDII,高风险,2011-01-13,4.77亿元（2019-12-31）,诺安基金,宋青,0.08%,100元起购,13 | 270
汇添富黄金及贵金属,164701,-22.80%,4.32%,0.772,0.52%,6.34%,7.97%,QDII,高风险,2011-08-31,1.48亿元（2019-12-31）,汇添富基金,赖中立,0.08%,100元起购,15 | 270
万家平衡养老目标三年(FOF),007232,10.75%,8.58%,1.1075,-0.94%,1.98%,2.54%,混合-FOF,中高风险,2019-04-22,0.11亿元（2019-12-31）,万家基金,徐朝贞,0.12%,100元起购,2102 | 3296
嘉实黄金,160719,-9.30%,4.49%,0.907,0.55%,6.71%,8.36%,QDII,高风险,2011-08-04,1.51亿元（2019-12-31）,嘉实基金,陈正宪,0.08%,100元起购,14 | 270
工银前沿医疗股票,001717,134.50%,36.73%,2.345,-1.14%,12.15%,22.26%,股票型,高风险,2016-02-03,11.40亿元（2019-12-31）,工银瑞信基金,赵蓓,0.15%,100元起购,34 | 1426
华润元大双鑫债券A,003680,9.26%,12.68%,1.0927,0.16%,2.77%,3.36%,债券型,中风险,2017-03-24,0.10亿元（2019-12-31）,华润元大基金,刘宏毅,0.08%,100元起购,154 | 2105
华润元大双鑫债券C,003723,8.46%,12.47%,1.0847,0.16%,2.73%,3.29%,债券型,中风险,2017-03-24,0.01亿元（2019-12-31）,华润元大基金,刘宏毅,0.00%,100元起购,163 | 2105
华润元大稳健债券A,001212,7.19%,0.68%,1.044,0.77%,1.36%,2.86%,债券型,中低风险,2015-10-16,0.02亿元（2019-12-31）,华润元大基金,李仆,0.08%,100元起购,197 | 2105
银华尊和养老2040混合(FOF),007780,11.68%,11.69%,1.1168,-2.63%,4.94%,7.20%,混合-FOF,中高风险,2019-08-16,0.11亿元（2019-12-31）,银华基金,肖侃宁,0.08%,100元起购,1301 | 3296
华润元大稳健债券C,001213,5.41%,0.39%,1.034,0.68%,1.27%,2.78%,债券型,中低风险,2015-10-16,0.02亿元（2019-12-31）,华润元大基金,李仆,0.00%,100元起购,205 | 2105
大成养老2040(FOF)C,007298,21.92%,18.91%,1.2192,-2.71%,5.80%,8.79%,混合-FOF,中高风险,2019-06-27,0.23亿元（2019-12-31）,大成基金,尚琼,0.00%,100元起购,1137 | 3296
大成养老2040(FOF)A,007297,22.24%,19.14%,1.2224,-2.71%,5.83%,8.85%,混合-FOF,中高风险,2019-06-27,2.30亿元（2019-12-31）,大成基金,尚琼,0.12%,100元起购,1128 | 3296
汇添富养老2050混合(FOF),007060,18.88%,13.85%,1.1888,-3.52%,5.32%,5.92%,混合-FOF,中高风险,2019-05-17,0.17亿元（2019-12-31）,汇添富基金,蔡健林,0.12%,100元起购,1452 | 3296
华夏乐享健康混合,002264,77.80%,37.83%,1.778,-3.05%,14.05%,24.68%,混合型,中高风险,2016-08-03,2.82亿元（2019-12-31）,华夏基金,陈斌,0.15%,100元起购,50 | 3302
华夏养老2040(FOF),006289,21.63%,14.86%,1.2032,-2.42%,4.87%,7.59%,混合-FOF,中高风险,2018-09-13,5.09亿元（2019-12-31）,华夏基金,许利明,0.15%,100元起购,1251 | 3296
工银养老2035(FOF),006295,18.81%,14.03%,1.1881,-1.82%,3.33%,6.05%,混合-FOF,中高风险,2018-10-31,3.07亿元（2019-12-31）,工银瑞信基金,蒋华安,0.05%,100元起购,1436 | 3296
银华尊和养老2030混合(FOF),007779,7.34%,7.34%,1.0734,-1.48%,3.33%,4.17%,混合-FOF,中高风险,2019-08-16,0.15亿元（2019-12-31）,银华基金,肖侃宁,0.08%,100元起购,1755 | 3296
万家瑞益灵活配置混合C,001636,38.85%,4.95%,1.3885,0.07%,1.82%,-0.73%,混合型,中高风险,2015-12-07,3.98亿元（2019-12-31）,万家基金,李文宾,0.00%,100元起购,2772 | 3302
万家瑞益灵活配置混合A,001635,42.64%,5.04%,1.4264,0.08%,1.82%,-0.72%,混合型,中高风险,2015-12-07,0.55亿元（2019-12-31）,万家基金,李文宾,0.06%,100元起购,2764 | 3302
华夏养老2045(FOF)A,006620,23.57%,21.00%,1.2357,-2.93%,6.80%,11.57%,混合-FOF,中高风险,2019-04-09,4.57亿元（2019-12-31）,华夏基金,许利明,0.15%,100元起购,864 | 3296
华夏养老2045(FOF)C,006621,23.13%,20.75%,1.2313,-2.93%,6.75%,11.50%,混合-FOF,中高风险,2019-04-09,0.32亿元（2019-12-31）,华夏基金,许利明,0.00%,100元起购,866 | 3296
工银养老2050混合(FOF),006886,16.16%,12.34%,1.1616,-2.69%,3.26%,6.22%,混合-FOF,中高风险,2019-03-28,0.90亿元（2019-12-31）,工银瑞信基金,黄惠宇,0.12%,100元起购,1417 | 3296
上投摩根尚睿混合(FOF),006042,25.71%,13.20%,1.2571,-1.26%,4.25%,5.14%,混合-FOF,中高风险,2018-08-15,0.34亿元（2019-12-31）,上投摩根基金,孟鸣,0.10%,100元起购,1574 | 3296
平安养老2035(FOF)C,007239,16.05%,14.82%,1.1605,-1.89%,4.77%,7.36%,混合-FOF,中高风险,2019-06-19,0.84亿元（2019-12-31）,平安基金,张文君,0.00%,100元起购,1286 | 3296
平安养老2035(FOF)A,007238,16.25%,14.97%,1.1625,-1.88%,4.80%,7.40%,混合-FOF,中高风险,2019-06-19,2.89亿元（2019-12-31）,平安基金,张文君,0.08%,100元起购,1280 | 3296
平安鑫享混合A,001609,23.40%,5.65%,1.234,-0.06%,2.60%,2.17%,混合型,中高风险,2015-07-28,0.36亿元（2019-12-31）,平安基金,WANG AO(汪澳),0.12%,100元起购,1808 | 3302
工银国债(7-10年)指数C,004086,10.88%,3.11%,1.1088,0.33%,1.73%,2.73%,债券指数,中低风险,2017-01-04,0.04亿元（2019-12-31）,工银瑞信基金,陈涵,0.00%,100元起购,661 | 1608
工银国债(7-10年)指数A,004085,10.90%,3.14%,1.109,0.33%,1.73%,2.74%,债券指数,中低风险,2017-01-04,0.66亿元（2019-12-31）,工银瑞信基金,陈涵,0.08%,100元起购,654 | 1608
平安鑫享混合C,001610,23.12%,5.32%,1.2312,-0.06%,2.54%,2.09%,混合型,中高风险,2015-07-28,2.86亿元（2019-12-31）,平安基金,WANG AO(汪澳),0.00%,100元起购,1846 | 3302
泰达宏利亚洲债券(QDII)A,003463,12.38%,2.97%,1.1238,0.26%,3.67%,3.51%,QDII,中风险,2016-10-14,0.54亿元（2019-12-31）,泰达宏利基金,师婧,0.08%,100元起购,38 | 270
泰达宏利亚洲债券(QDII)C,003464,10.95%,2.83%,1.1095,0.25%,3.60%,3.42%,QDII,中风险,2016-10-14,0.12亿元（2019-12-31）,泰达宏利基金,师婧,0.00%,100元起购,39 | 270
中欧品质消费股票A,005620,53.92%,17.57%,1.5392,-2.56%,11.33%,9.30%,股票型,高风险,2018-02-11,0.59亿元（2019-12-31）,中欧基金,郭睿,0.15%,100元起购,311 | 1426
中欧品质消费股票C,005621,51.67%,17.08%,1.5167,-2.56%,11.24%,9.16%,股票型,高风险,2018-02-11,0.22亿元（2019-12-31）,中欧基金,郭睿,0.00%,100元起购,316 | 1426
汇添富养老2030混合(FOF),006763,16.67%,12.30%,1.1667,-2.95%,4.54%,5.35%,混合-FOF,中高风险,2018-12-27,3.14亿元（2019-12-31）,汇添富基金,蔡健林,0.12%,100元起购,1548 | 3296
中欧预见养老2035(FOF)A,006321,26.08%,13.48%,1.2608,-1.26%,4.10%,5.46%,混合-FOF,中高风险,2018-10-10,5.61亿元（2019-12-31）,中欧基金,桑磊,0.12%,100元起购,1521 | 3296
兴业养老2035(FOF)A,006894,7.36%,6.95%,1.0736,-1.85%,3.03%,4.49%,混合-FOF,中高风险,2019-05-06,2.18亿元（2019-12-31）,兴业基金,朱天竑,0.08%,100元起购,1683 | 3296
中欧预见养老2035(FOF)C,006322,25.38%,13.25%,1.2538,-1.27%,4.06%,5.40%,混合-FOF,中高风险,2018-10-10,0.72亿元（2019-12-31）,中欧基金,桑磊,0.00%,100元起购,1538 | 3296
南方中债10年期国债A,160123,36.69%,3.52%,1.3285,0.30%,1.72%,2.78%,债券指数,中低风险,2011-05-17,0.17亿元（2019-12-31）,南方基金,董浩,0.08%,100元起购,604 | 1608
华夏养老2050五年(FOF),006891,23.27%,16.89%,1.2327,-2.48%,4.17%,6.67%,混合-FOF,中高风险,2019-03-26,0.42亿元（2019-12-31）,华夏基金,许利明,0.15%,100元起购,1365 | 3296
国金惠盈纯债A,006549,8.69%,5.61%,1.0869,0.23%,2.61%,4.14%,债券型,中低风险,2019-04-03,4.29亿元（2019-12-31）,国金基金,滕祖光,0.06%,100元起购,100 | 2105
兴业养老2035(FOF)C,006895,7.45%,7.14%,1.0745,-1.85%,2.99%,4.42%,混合-FOF,中高风险,2019-05-06,0.45亿元（2019-12-31）,兴业基金,朱天竑,0.00%,100元起购,1697 | 3296
嘉实养老2040混合(FOF),006307,18.53%,17.87%,1.1853,-2.17%,5.20%,8.06%,混合-FOF,中高风险,2019-03-06,0.43亿元（2019-12-31）,嘉实基金,郑科,0.08%,100元起购,1211 | 3296
国金惠盈纯债C,006760,8.34%,5.48%,1.0834,0.23%,2.58%,4.09%,债券型,中低风险,2019-04-03,0.23亿元（2019-12-31）,国金基金,滕祖光,0.00%,100元起购,104 | 2105
南方中债10年期国债C,160124,32.21%,3.33%,1.2848,0.30%,1.68%,2.72%,债券指数,中低风险,2011-05-17,0.72亿元（2019-12-31）,南方基金,董浩,0.00%,100元起购,716 | 1608
南方7-10年国开债A,006961,7.58%,3.47%,1.0758,0.26%,2.03%,3.37%,债券指数,中低风险,2019-03-15,0.71亿元（2019-12-31）,南方基金,夏晨曦,0.06%,100元起购,-- | 1608
银华中债5年期金融债指数A,003989,15.13%,3.26%,1.1513,0.19%,1.58%,2.25%,债券指数,中低风险,2017-04-17,0.58亿元（2019-12-31）,银华基金,瞿灿,0.04%,100元起购,673 | 1608
银华中债5年期金融债指数C,003990,17.38%,3.17%,1.1738,0.20%,1.56%,2.22%,债券指数,中低风险,2017-04-17,0.13亿元（2019-12-31）,银华基金,瞿灿,0.00%,100元起购,719 | 1608
南方7-10年国开债C,006962,7.46%,3.42%,1.0746,0.25%,2.01%,3.35%,债券指数,中低风险,2019-03-15,0.05亿元（2019-12-31）,南方基金,夏晨曦,0.00%,100元起购,-- | 1608
圆信永丰中高等级债,005922,7.25%,0.80%,1.0725,0.27%,1.23%,1.48%,债券型,中低风险,2018-08-03,0.41亿元（2019-12-31）,圆信永丰基金,余文龙,0.06%,100元起购,906 | 2105
易方达中债7-10年国开债指数,003358,10.84%,4.22%,1.1084,0.24%,1.91%,3.26%,债券指数,中低风险,2016-09-27,11.71亿元（2019-12-31）,易方达基金,张雅君,0.08%,100元起购,306 | 1608
兴全安泰养老三年(FOF),006580,26.24%,12.31%,1.2624,-0.88%,3.39%,4.26%,混合-FOF,中高风险,2019-01-25,10.20亿元（2019-12-31）,兴全基金,林国怀,0.10%,100元起购,1734 | 3296
招商和悦稳健养老(FOF)A,006861,12.10%,9.17%,1.121,-0.49%,3.05%,5.59%,混合-FOF,中高风险,2019-04-26,5.21亿元（2019-12-31）,招商基金,章鸽武,0.12%,100元起购,1504 | 3296
招商和悦稳健养老(FOF)C,006862,11.63%,8.90%,1.1163,-0.48%,3.01%,5.50%,混合-FOF,中高风险,2019-04-26,3.59亿元（2019-12-31）,招商基金,章鸽武,0.00%,100元起购,1518 | 3296
银华尊尚稳健养老混合(FOF),007310,6.79%,6.78%,1.068,-0.92%,3.18%,3.84%,混合-FOF,中高风险,2019-08-14,0.11亿元（2019-12-31）,银华基金,肖侃宁,0.08%,100元起购,1811 | 3296
汇添富养老2040五年持有混合(FOF),007059,18.50%,12.66%,1.185,-3.19%,5.15%,5.39%,混合-FOF,中高风险,2019-04-29,5.38亿元（2019-12-31）,汇添富基金,蔡健林,0.15%,100元起购,1539 | 3296
广发中债7-10年国开债指数A,003376,12.60%,4.11%,1.1261,0.22%,1.85%,2.99%,债券指数,中低风险,2016-09-26,13.73亿元（2019-12-31）,广发基金,王予柯,0.05%,100元起购,293 | 1608
广发中债7-10年国开债指数C,003377,11.08%,3.90%,1.1109,0.22%,1.82%,2.94%,债券指数,中低风险,2016-09-26,4.93亿元（2019-12-31）,广发基金,王予柯,0.00%,100元起购,345 | 1608
南方丰元信用增强债券A,000355,49.25%,5.37%,1.295,0.23%,2.45%,3.35%,债券型,中风险,2013-11-12,5.60亿元（2019-12-31）,南方基金,杜才超,0.08%,100元起购,155 | 2105
银河泰利纯债A,519675,58.57%,3.24%,1.1047,0.21%,1.84%,2.66%,债券型,中低风险,2014-08-06,0.57亿元（2019-12-31）,银河基金,韩晶,0.08%,100元起购,229 | 2105
华夏亚债中国指数A,001021,43.42%,3.59%,1.3,0.23%,1.56%,2.60%,债券指数,中低风险,2011-05-25,83.63亿元（2019-12-31）,华夏基金,张海静,0.08%,100元起购,238 | 2105
华夏养老2035(FOF)C,006623,7.40%,6.61%,1.074,-1.85%,4.38%,4.60%,混合-FOF,中高风险,2019-04-24,0.11亿元（2019-12-31）,华夏基金,许利明,0.00%,100元起购,1651 | 3296
华夏养老2035(FOF)A,006622,7.76%,6.83%,1.0776,-1.85%,4.42%,4.66%,混合-FOF,中高风险,2019-04-24,2.80亿元（2019-12-31）,华夏基金,许利明,0.15%,100元起购,1639 | 3296
建信金融债8-10年(LOF),501105,19.61%,3.32%,1.1962,0.19%,1.67%,2.85%,债券指数,中低风险,2017-08-09,0.54亿元（2019-12-31）,建信基金,刘思,0.04%,100元起购,504 | 1608
民生加银平稳增利C,166903,54.28%,0.08%,1.0215,0.01%,0.22%,0.79%,定开债券,中低风险,2012-11-15,4.08亿元（2019-12-31）,民生加银基金,胡振仓,0.00%,100元起购,645 | 791
中欧预见养老2050五年持有(FOF)A,007241,19.23%,14.96%,1.1923,-1.81%,4.30%,5.86%,混合-FOF,中高风险,2019-05-10,0.15亿元（2019-12-31）,中欧基金,桑磊,0.15%,100元起购,1458 | 3296
中欧预见养老2050五年持有(FOF)C,007242,19.61%,14.79%,1.1961,-1.81%,4.27%,5.81%,混合-FOF,中高风险,2019-05-10,0.00亿元（2019-12-31）,中欧基金,桑磊,0.00%,100元起购,1466 | 3296
民生加银平稳增利A,166902,58.83%,0.26%,1.0274,0.01%,0.24%,0.84%,定开债券,中低风险,2012-11-15,25.48亿元（2019-12-31）,民生加银基金,胡振仓,0.08%,100元起购,632 | 791
博时中债5-10农发行C,006849,7.33%,3.74%,1.0393,0.23%,1.54%,2.47%,债券指数,中低风险,2019-03-20,0.07亿元（2019-12-31）,博时基金,张鹿,0.00%,100元起购,-- | 1608
博时中债5-10农发行A,006848,7.39%,3.80%,1.0395,0.23%,1.56%,2.47%,债券指数,中低风险,2019-03-20,4.54亿元（2019-12-31）,博时基金,张鹿,0.05%,100元起购,-- | 1608
广发中证基建工程指数A,005223,-26.50%,-3.05%,0.735,-1.41%,-0.68%,-3.78%,股票指数,高风险,2018-02-01,2.33亿元（2019-12-31）,广发基金,霍华明,0.10%,100元起购,1105 | 1117
银华尊和养老2035混合(FOF),006305,18.33%,12.59%,1.1833,-2.14%,3.94%,5.41%,混合-FOF,中高风险,2018-12-13,2.50亿元（2019-12-31）,银华基金,肖侃宁,0.08%,100元起购,1536 | 3296
华夏亚债中国指数C,001023,38.84%,3.37%,1.257,0.24%,1.53%,2.53%,债券指数,中低风险,2011-05-25,1.32亿元（2019-12-31）,华夏基金,张海静,0.00%,100元起购,251 | 2105
嘉实养老2030混合(FOF),006245,15.50%,13.97%,1.155,-1.76%,4.43%,6.69%,混合-FOF,中高风险,2019-08-05,2.23亿元（2019-12-31）,嘉实基金,郑科,0.08%,100元起购,1364 | 3296
南方丰元信用增强债券C,000356,45.63%,5.23%,1.268,0.24%,2.42%,3.26%,债券型,中风险,2013-11-12,3.38亿元（2019-12-31）,南方基金,杜才超,0.00%,100元起购,167 | 2105
广发中证基建工程指数C,005224,-26.62%,-3.12%,0.7338,-1.41%,-0.70%,-3.83%,股票指数,高风险,2018-02-01,2.69亿元（2019-12-31）,广发基金,霍华明,0.00%,100元起购,1106 | 1117
银华中债10年期金融债指数A,003987,15.92%,3.60%,1.1592,0.20%,1.92%,3.23%,债券指数,中低风险,2017-04-17,0.61亿元（2019-12-31）,银华基金,瞿灿,0.04%,100元起购,351 | 1608
银华中债10年期金融债指数C,003988,15.14%,3.52%,1.1514,0.19%,1.89%,3.21%,债券指数,中低风险,2017-04-17,0.05亿元（2019-12-31）,银华基金,瞿灿,0.00%,100元起购,354 | 1608
南方合顺多资产(FOF)A,005979,19.08%,16.13%,1.1908,-2.39%,4.65%,7.05%,混合-FOF,中高风险,2019-01-17,0.19亿元（2019-12-31）,南方基金,夏莹莹,0.08%,100元起购,1322 | 3296
南方合顺多资产(FOF)C,005980,18.55%,15.91%,1.1855,-2.39%,4.61%,6.98%,混合-FOF,中高风险,2019-01-17,0.06亿元（2019-12-31）,南方基金,夏莹莹,0.00%,100元起购,1331 | 3296
国投瑞银稳健养老(FOF),006876,9.89%,8.77%,1.0989,-1.37%,3.11%,4.76%,混合-FOF,中高风险,2019-03-25,6.42亿元（2019-12-31）,国投瑞银基金,王宠,0.06%,100元起购,1624 | 3296
中加纯债债券,000914,34.20%,5.04%,1.0795,0.13%,1.88%,2.64%,债券型,中低风险,2014-12-17,8.25亿元（2019-12-31）,中加基金,闫沛贤,0.06%,1000元起购,231 | 2105
交银境尚收益债券A,519784,15.25%,3.29%,1.0859,0.20%,1.42%,2.26%,债券型,中低风险,2017-03-03,0.36亿元（2019-12-31）,交银施罗德基金,黄莹洁,0.08%,100元起购,326 | 2105
工银信用纯债债券A,485119,31.86%,2.31%,1.2727,0.32%,1.27%,1.54%,债券型,中低风险,2012-11-14,0.61亿元（2019-12-31）,工银瑞信基金,李娜,0.08%,100元起购,819 | 2105
工银信用纯债债券B,485019,27.77%,2.09%,1.238,0.31%,1.22%,1.48%,债券型,中低风险,2012-11-14,0.15亿元（2019-12-31）,工银瑞信基金,李娜,0.00%,100元起购,907 | 2105
诺安泰鑫一年定开债A,000201,41.69%,3.33%,1.054,0.10%,1.25%,1.74%,定开债券,中低风险,2013-11-05,4.28亿元（2019-12-31）,诺安基金,岳帅,0.06%,100元起购,231 | 791
交银境尚收益债券C,519785,13.18%,2.97%,1.0766,0.21%,1.37%,2.16%,债券型,中低风险,2017-03-03,0.05亿元（2019-12-31）,交银施罗德基金,黄莹洁,0.00%,100元起购,365 | 2105
华夏聚惠(FOF)A,005218,15.57%,9.08%,1.1557,-1.47%,3.74%,4.60%,混合-FOF,中高风险,2017-11-03,5.49亿元（2019-12-31）,华夏基金,郑铮,0.10%,100元起购,1650 | 3296
中银信用增利债券(LOF),163819,74.49%,4.79%,1.077,0.09%,1.51%,2.67%,债券型,中风险,2012-03-12,39.14亿元（2019-12-31）,中银基金,奚鹏洲,0.08%,100元起购,227 | 2105
南方养老2035(FOF)A,006290,19.62%,9.54%,1.1962,-1.09%,2.63%,2.82%,混合-FOF,中高风险,2018-11-06,5.13亿元（2019-12-31）,南方基金,黄俊,0.12%,100元起购,2030 | 3296
华润元大润泽债券C,004894,6.70%,1.59%,1.067,0.14%,0.55%,0.84%,债券型,中低风险,2018-06-06,0.41亿元（2019-12-31）,华润元大基金,李仆,0.00%,100元起购,1707 | 2105
